current_club;AverageAge;AverageAppearances;TotalPlayers
;40.6666666666667;;21
1. FC Köln;26.0;76.0;1
1. FC Union Berlin;23.0;;1
A.C. Milan;41.0;;1
AC Milan;23.0;0.0;1
Al Ahly;22.0;16.0;1
Al Bataeh;22.0;0.0;1
Al Nassr;35.0;26.0;2
Al-Arabi SC (Qatar);30.0;;1
Al-Fayha FC;33.0;;1
Al-Riyadh;32.0;6.0;1
Al-Sadd Sports Club;32.0;;1
Alanyaspor;31.0;0.0;1
Arsenal;22.0;1.0;1
Arsenal F.C.;17.0;;1
Aston Villa;31.0;133.0;1
Atlanta United;22.0;60.0;1
Atromitos F.C.;24.0;;1
Augsburg;21.0;32.0;1
Barcelona;27.6666666666667;123.666666666667;3
Bayer 04 Leverkusen;20.0;;1
Betis;22.0;14.0;1
Beşiktaş;32.0;53.0;1
Boca Juniors;21.0;115.0;1
Brighton & Hove Albion;19.0;0.0;1
CA Bizertin;22.0;0.0;1
CSS Richard-Toll;33.0;1.0;1
Casertana;34.0;0.0;1
Celtic;29.0;81.0;1
Central Córdoba SdE;39.0;16.0;1
Cerro Porteño;26.0;;1
Changchun Yatai;33.0;204.0;1
Chapulineros de Oaxaca;31.0;;1
Chelsea;23.5;26.5;2
Chelsea F.C.;33.0;;1
Club América;26.0;;1
Clube Atlético Mineiro;25.0;;1
Cremonese;21.0;31.0;1
Dynamo Kyiv;25.0;23.0;1
Everton;24.0;65.0;1
FC Barcelona;20.0;;2
FC Lausanne-Sport;29.0;;1
FC Lokomotiv Moscow;26.0;;1
FC Ukraine United;36.0;;1
FC Znamya Noginsk;38.0;;1
Fagiano Okayama;24.0;0.0;1
Ferencváros;26.0;25.0;1
Feyenoord;23.0;;1
Fluminense;35.0;19.0;1
Fénix;41.0;55.0;1
GNK Dinamo Zagreb Academy;26.0;;1
Gamba Osaka;36.0;;1
Genk;21.0;108.0;1
Genoa;21.0;17.0;1
Getafe;21.0;0.0;1
HPC;40.0;27.0;1
Havant & Waterlooville F.C.;19.0;;1
Hull City;21.0;4.0;1
Independiente del Valle;30.0;51.0;1
Inter Miami;37.0;0.0;1
JäPS;26.0;16.0;1
Júbilo Iwata;35.0;145.0;1
Kasımpaşa;23.0;0.0;1
Kawasaki Frontale;22.0;;1
Kayserispor;35.0;;1
Leicester City;27.0;166.0;1
Liverpool;27.6666666666667;97.3333333333333;3
MC Alger;31.0;11.0;1
Manchester City;26.5;145.5;2
Manchester United;31.0;39.0;1
Manchester United F.C.;20.0;;1
Marseille;34.0;21.0;1
Melbourne City;31.0;37.0;1
Nacional;32.0;28.0;1
National Bank of Egypt;35.0;25.0;1
Ohod Club;25.0;;1
Olympic FC;34.0;24.0;1
PSV;28.0;13.0;1
PT Prachuap F.C.;29.0;;1
Paks;34.0;13.0;1
Panathinaikos;32.0;0.0;1
Panathinaikos B;24.0;;1
Paris Saint-Germain;25.0;121.5;2
Parma;29.0;25.0;1
Persib Bandung;37.0;;1
Pohang Steelers;34.0;53.0;1
Pohronie;20.0;15.0;1
Pécs;24.0;21.0;1
Qatar SC;30.0;20.0;1
Rayo Vallecano;24.0;;1
Real Madrid;24.0;79.0;3
Red Bull Salzburg;20.0;55.0;1
Red Star Belgrade;31.0;;1
SV Elversberg;20.0;7.0;1
Salernitana;36.0;41.0;1
Sanfrecce Hiroshima;31.0;7.0;1
Sevilla;26.0;30.5;2
Sheffield United;24.0;3.0;1
Shenzhen Pengcheng;30.0;30.0;1
Shimizu S-Pulse;26.0;;1
Sociedade Esportiva Palmeiras;16.0;;1
Southampton;21.0;40.0;1
Sport Club Internacional;21.0;;1
Suzuka Point Getters;27.0;0.0;1
São Paulo;36.0;2.0;1
Tottenham Hotspur F.C.;33.0;;1
U.S. Salernitana 1919;19.0;;1
Valladolid;29.0;10.0;1
Vancouver FC;28.0;14.0;1
Villarreal;29.0;4.0;1
Wolverhampton Wanderers;22.0;29.0;1
Wolverhampton Wanderers F.C.;26.0;;1
ZED;21.0;0.0;1
Zob Ahan;27.0;9.0;1
